username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
redcarpetcrash;2018-11-22 10:30;1;0;"Win A Copy Of ‘Sorry To Bother You’ Blu-ray http:// redcarpetcrash.com/win-a-copy-of- sorry-to-bother-you-blu-ray/ …";;;;"1065643569585766401";https://twitter.com/redcarpetcrash/status/1065643569585766401
kris_tea;2018-11-22 10:23;0;2;"Oh that sounds really nice. And yes, crash into bed, not damage any automobiles. Lol";;;;"1065641960566915072";https://twitter.com/kris_tea/status/1065641960566915072
redcarpetcrash;2018-11-22 10:15;1;0;"Win A Copy Of ‘Longing’ DVD http:// redcarpetcrash.com/win-a-copy-of- longing-dvd/ …";;;;"1065639795219554304";https://twitter.com/redcarpetcrash/status/1065639795219554304
CrashClarkson;2018-11-22 10:00;1;2;"Happy thanksgiving! This year I’m thankful for my family, my faith, my friends and my wife emily. Bless up.";;;;"1065636136679133184";https://twitter.com/CrashClarkson/status/1065636136679133184
redcarpetcrash;2018-11-22 10:00;1;0;"Win A Copy Of ‘City Of Secrets’ By Victoria Thompson http:// redcarpetcrash.com/win-a-copy-of- city-of-secrets-by-victoria-thompson/ …";;;;"1065636021516288001";https://twitter.com/redcarpetcrash/status/1065636021516288001
redcarpetcrash;2018-11-22 09:40;1;1;"Detroit: Win Passes To An Advance Screening Of ‘MORTAL ENGINES’ http:// redcarpetcrash.com/detroit-win-pa sses-to-an-advance-screening-of-mortal-engines/ …";;;;"1065630987340652550";https://twitter.com/redcarpetcrash/status/1065630987340652550
redcarpetcrash;2018-11-22 09:30;1;0;"Win A Copy Of ‘Ancient Aliens: Season 11’ DVD http:// redcarpetcrash.com/win-a-copy-of- ancient-aliens-season-11-dvd/ …";;;;"1065628472347844608";https://twitter.com/redcarpetcrash/status/1065628472347844608
TheRealDuramax;2018-11-22 09:24;0;0;"You want the world economy to crash and go into a depression over a guy who openly campaigned for the Muslim Brotherhood and Hamas?";;;;"1065626967456837632";https://twitter.com/TheRealDuramax/status/1065626967456837632
redcarpetcrash;2018-11-22 09:15;2;1;"Win A Copy Of ‘Lifetime Holiday Double Feature: A Very Merry Toy Store And Four Christmases And A Wedding’ DVD http:// redcarpetcrash.com/win-a-copy-of- lifetime-holiday-double-feature-a-very-merry-toy-store-and-four-christmases-and-a-wedding-dvd/ …";;;;"1065624695574192129";https://twitter.com/redcarpetcrash/status/1065624695574192129
redcarpetcrash;2018-11-22 09:00;1;0;"Win A Copy Of The Book ‘The Lying Woods’ By Ashley Elston http:// redcarpetcrash.com/win-a-copy-of- the-book-the-lying-woods-by-ashley-elston/ …";;;;"1065620920327389184";https://twitter.com/redcarpetcrash/status/1065620920327389184
redcarpetcrash;2018-11-22 08:40;1;0;"San Antonio: Win Passes To An Advance Screening Of ‘Second Act’ http:// redcarpetcrash.com/san-antonio-wi n-passes-to-an-advance-screening-of-second-act/ …";;;;"1065615887431073793";https://twitter.com/redcarpetcrash/status/1065615887431073793
